region,station_name,Promotion Price,promo_statId,promo_chgerId,type,speed(kwh),address,location_detail,lati,longi,First_floor,is_fast,parking_free,only_taxi,,,,,,,,,,,
경남,사촌해수욕장,299,HM810005,02,초급속,100,경상남도 남해군 남면 선구리 1051-2,옥외주차장,34.7429381000,127.8587786000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,사촌해수욕장,299,HM810005,01,초급속,100,경상남도 남해군 남면 선구리 1051-2,옥외주차장,34.7429381000,127.8587786000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,남해읍 공영주차장,299,HM810006,02,초급속,100,경상남도 남해군 북변리 330-4,옥외주차장,34.8401650000,127.8982090000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,남해읍 공영주차장,299,HM810006,01,초급속,100,경상남도 남해군 북변리 330-4,옥외주차장,34.8401650000,127.8982090000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,굴수하식수산업협동조합,299,HM810007,02,초급속,100,경상남도 통영시 용남면 견내량로 22,옥외주차장,34.8888788000,128.4609946000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,굴수하식수산업협동조합,299,HM810007,01,초급속,100,경상남도 통영시 용남면 견내량로 22,옥외주차장,34.8888788000,128.4609946000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,창선단항 공영주차장,253,HM810008,04,초급속,100,경상남도 남해군 창선면 대벽리 164-1,옥외주차장,34.9174260000,128.0293100000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창선단항 공영주차장,253,HM810008,03,초급속,100,경상남도 남해군 창선면 대벽리 164-1,옥외주차장,34.9174260000,128.0293100000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창선단항 공영주차장,253,HM810008,02,초급속,100,경상남도 남해군 창선면 대벽리 164-1,옥외주차장,34.9174260000,128.0293100000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창선단항 공영주차장,253,HM810008,01,초급속,100,경상남도 남해군 창선면 대벽리 164-1,옥외주차장,34.9174260000,128.0293100000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,남지읍사무소 주차장,280,HM810011,02,초급속,100,경상남도 창녕군 남지읍 낙동로 483,,35.3860220000,128.4693180000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,남지읍사무소 주차장,280,HM810011,01,초급속,100,경상남도 창녕군 남지읍 낙동로 483,,35.3860220000,128.4693180000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,명덕 공영주차장,280,HM810012,02,초급속,100,경상남도 창녕군 창녕읍 교리 318,,35.5441400000,128.4974900000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,명덕 공영주차장,280,HM810012,01,초급속,100,경상남도 창녕군 창녕읍 교리 318,,35.5441400000,128.4974900000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,산토끼노래동산 주차장,253,HM810013,02,초급속,100,경상남도 창녕군 이방면 이방로 623,,35.5764680000,128.3861920000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,산토끼노래동산 주차장,253,HM810013,01,초급속,100,경상남도 창녕군 이방면 이방로 623,,35.5764680000,128.3861920000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,서재골 공영주차장,253,HM810014,02,초급속,100,경상남도 창녕군 창녕읍 술정리 253-3,,35.5378530000,128.4906290000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,서재골 공영주차장,253,HM810014,01,초급속,100,경상남도 창녕군 창녕읍 술정리 253-3,,35.5378530000,128.4906290000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,영산 서리 공영주차장,299,HM810015,02,초급속,100,경상남도 창녕군 영산면 영산중앙길 16-1,,35.4560547000,128.5286703000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,영산 서리 공영주차장,299,HM810015,01,초급속,100,경상남도 창녕군 영산면 영산중앙길 16-1,,35.4560547000,128.5286703000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,우포늪체험장,253,HM810016,02,초급속,200,경상남도 창녕군 대합면 우포2로 370,,35.5662350000,128.4223400000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,우포늪체험장,253,HM810016,01,초급속,200,경상남도 창녕군 대합면 우포2로 370,,35.5662350000,128.4223400000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,창녕노인복지회관,280,HM810018,02,초급속,100,경상남도 창녕군 창녕읍 창녕대로 172,,35.5309498000,128.5022563000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창녕노인복지회관,280,HM810018,01,초급속,100,경상남도 창녕군 창녕읍 창녕대로 172,,35.5309498000,128.5022563000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창녕소방서 (본서),280,HM810021,02,초급속,100,경상남도 창녕군 대지면 우포2로 1097,,35.5505080000,128.4786410000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창녕소방서 (본서),280,HM810021,01,초급속,100,경상남도 창녕군 대지면 우포2로 1097,,35.5505080000,128.4786410000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,남지대신동공영주차장,280,HM810025,02,초급속,100,경상남도 창녕군 남지읍 남지리 817-9,,35.3858900000,128.4693120000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,남지대신동공영주차장,280,HM810025,01,초급속,100,경상남도 창녕군 남지읍 남지리 817-9,,35.3858900000,128.4693120000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,화왕산로 노상주차장,299,HM810026,02,초급속,100,경상남도 창녕군 창녕읍 말흘리 357-1,,35.5351880000,128.5064190000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,화왕산로 노상주차장,299,HM810026,01,초급속,100,경상남도 창녕군 창녕읍 말흘리 357-1,,35.5351880000,128.5064190000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,술정리 동삼층석탑 공중화장실,280,HM810028,02,초급속,100,경상남도 창녕군 창녕읍 시장2길 19-18,,35.5395810000,128.4951360000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,술정리 동삼층석탑 공중화장실,280,HM810028,01,초급속,100,경상남도 창녕군 창녕읍 시장2길 19-18,,35.5395810000,128.4951360000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,우포늪생태관 주차장 제2주차장,253,HM810029,02,초급속,100,경상남도 창녕군 유어면 우포늪길 218,,35.5426912000,128.4171315000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
